city,feature
Aberdeen,Oranges (1kg)
Aberdeen,"Meal, Inexpensive Restaurant"
Amsterdam,Domestic Beer (0.5 liter bottle)
Amsterdam,Apartment (3 bedrooms) Outside of Centre
Amsterdam,mortgage_as_percentage_of_income
Athens,Apartment (1 bedroom) Outside of Centre
Athens,time_index
Athens,Taxi 1hour Waiting (Normal Tariff)
Banja Luka,Taxi 1hour Waiting (Normal Tariff)
Banja Luka,mortgage_as_percentage_of_income
Banja Luka,pollution_index
Barcelona,healthcare_index
Barcelona,Onion (1kg)
Barcelona,Water (0.33 liter bottle) 
Belgrade,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
Belgrade,healthcare_index
Belgrade,Tennis Court Rent (1 Hour on Weekend)
Belgrade,Water (0.33 liter bottle) 
Belgrade,purchasing_power_incl_rent_index
Berlin,Banana (1kg)
Berlin,Local Cheese (1kg)
Berlin,Apartment (1 bedroom) Outside of Centre
Bologna,time_exp_index
Bologna,price_to_rent_ratio_city_centre
Brasov,gross_rental_yield_city_centre
Bratislava,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car)
Bratislava,pollution_index
Bratislava,Eggs (regular) (12)
Bratislava,exp_pollution_index
Brno,"International Primary School, Yearly for 1 Child"
Brno,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car)
Brno,rent_index
Brno,climate_index
Brno,traffic_index
Brno,groceries_index
Brno,Banana (1kg)
Brno,safety_index
Brussels,Taxi 1km (Normal Tariff)
Brussels,Eggs (regular) (12)
Brussels,Onion (1kg)
Brussels,Water (1.5 liter bottle)
Bucharest,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
Bucharest,rent_index
Budapest,Apartment (3 bedrooms) Outside of Centre
Budapest,time_exp_index
Budapest,cpi_index
Chisinau,Average Monthly Net Salary (After Tax)
Chisinau,1 Pair of Jeans (Levis 501 Or Similar)
Chisinau,Loaf of Fresh White Bread (500g)
Chisinau,Taxi 1km (Normal Tariff)
Chisinau,house_price_to_income_ratio
Cluj-Napoca,"Rice (white), (1kg)"
Cluj-Napoca,purchasing_power_incl_rent_index
Cluj-Napoca,affordability_index
Constanta,Gasoline (1 liter)
Constanta,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car)
Constanta,McMeal at McDonalds (or Equivalent Combo Meal)
Constanta,Eggs (regular) (12)
Constanta,Water (0.33 liter bottle) 
Constanta,Apples (1kg)
Copenhagen,Average Monthly Net Salary (After Tax)
Copenhagen,Apartment (3 bedrooms) in City Centre
Copenhagen,Taxi Start (Normal Tariff)
Debrecen,"Cinema, International Release, 1 Seat"
Debrecen,Lettuce (1 head)
Dnipro,Apples (1kg)
Dnipro,Apartment (3 bedrooms) Outside of Centre
Dnipro,1 Pair of Jeans (Levis 501 Or Similar)
Dnipro,Tomato (1kg)
Dublin,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
Dublin,One-way Ticket (Local Transport)
Dublin,gross_rental_yield_city_centre
Eindhoven,healthcare_index
Eindhoven,Apartment (3 bedrooms) Outside of Centre
Eindhoven,"Meal for 2 People, Mid-range Restaurant, Three-course"
Eindhoven,groceries_index
Espoo,1 Pair of Jeans (Levis 501 Or Similar)
Florence,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
Florence,Banana (1kg)
Florence,Cappuccino (regular)
Frankfurt,Beef Round (1kg) (or Equivalent Back Leg Red Meat)
Frankfurt,Loaf of Fresh White Bread (500g)
Frankfurt,gross_rental_yield_city_centre
Frankfurt,Apartment (3 bedrooms) in City Centre
Frankfurt,affordability_index
Gdansk,Chicken Fillets (1kg)
Gdansk,1 Pair of Jeans (Levis 501 Or Similar)
Gdansk,Cappuccino (regular)
Gdansk,price_to_rent_ratio_outside_of_centre
Gdynia,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car)
Gdynia,inefficiency_index
Geneva,Banana (1kg)
Geneva,Apartment (1 bedroom) in City Centre
Geneva,"Milk (regular), (1 liter)"
Geneva,Loaf of Fresh White Bread (500g)
Haarlem,Potato (1kg)
Haarlem,Water (1.5 liter bottle)
Helsinki,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car)
Helsinki,Taxi 1hour Waiting (Normal Tariff)
Helsinki,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car)
Helsinki,Domestic Beer (0.5 liter draught)
Helsinki,Onion (1kg)
Helsinki,mortgage_as_percentage_of_income
Helsinki,cpi_index
Iasi,"Cinema, International Release, 1 Seat"
Iasi,1 Pair of Men Leather Business Shoes
Katowice,1 Pair of Men Leather Business Shoes
Katowice,Imported Beer (0.33 liter bottle)
Katowice,traffic_index
Katowice,groceries_index
Katowice,restaurant_price_index
Katowice,climate_index
Kaunas,"Milk (regular), (1 liter)"
Kaunas,Apartment (3 bedrooms) Outside of Centre
Kaunas,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
Kharkiv,Apples (1kg)
Kharkiv,Oranges (1kg)
Kharkiv,climate_index
Kharkiv,Eggs (regular) (12)
Kiev (Kyiv),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
Kiev (Kyiv),Apartment (1 bedroom) in City Centre
Kiev (Kyiv),"International Primary School, Yearly for 1 Child"
Kiev (Kyiv),purchasing_power_incl_rent_index
Kiev (Kyiv),"Cinema, International Release, 1 Seat"
Kiev (Kyiv),Water (0.33 liter bottle) 
Kiev (Kyiv),traffic_index
