city,error_margin,number_of_features
Aberdeen,0.0004340994275874067,2
Amsterdam,0.00027739885922874977,3
Athens,0.0011166258845102164,3
Banja Luka,0.0013819160428626509,3
Barcelona,0.0022999466877016927,3
Belgrade,0.002588822508537966,5
Berlin,0.00285938775133727,3
Bialystok,0.0,0
Bologna,0.005200006861229544,2
Bolzano-Bozen,0.0,0
Brasov,0.00415076568917988,1
Bratislava,0.0036225064002658085,4
Brno,0.0037635700434151442,8
Brussels,0.002218184971940808,4
Bucharest,0.00457780860222005,2
Budapest,0.0032978318048950996,3
Catania,0.0,0
Chisinau,0.0021350150379067867,5
Cluj-Napoca,0.0023556324918362053,3
Constanta,0.0002932095309355706,6
Copenhagen,0.0003404633186508205,3
Coventry,0.0,0
Debrecen,0.01685627560119002,2
Dnipro,0.0048994254651803315,4
Dublin,0.00031182084707712506,3
Eindhoven,0.0006516948019579839,4
Espoo,0.14727429445830847,1
Florence,0.0015181418087615028,3
Frankfurt,0.0005347444967398217,5
Gdansk,0.002301596701667406,4
Gdynia,0.019388161462942404,2
Geneva,0.004804025850463209,4
Groningen,0.0,0
Haarlem,0.008691098568270595,2
Helsinki,0.002541512745103366,7
Iasi,0.0023340293901020995,2
Katowice,0.0036723502283271493,6
Kaunas,0.00047281031705133337,3
Kharkiv,0.0007285219499468967,4
Kiev (Kyiv),0.0008238307564333217,7
Kosice,0.0013539991075976286,4
Krakow (Cracow),0.0034143885034658913,8
Lisbon,0.0019734987642200524,6
Liverpool,0.002616473771820483,6
Ljubljana,0.0015708812617389488,4
Lodz,0.0034254408278802683,8
London,0.006111475475267878,3
Luxembourg,0.0004279548821764948,6
Lviv,0.0084729910335587,3
Lyon,0.0011071165340557651,5
Madrid,0.004401993822019002,3
Manchester,0.002428135560524947,8
Milan,0.0011871519262594992,5
Minsk,0.0026046165566944576,7
Moscow,0.0013267024223165404,5
Munich,0.0016529772057659242,5
Nis,0.0030433850851487375,8
Novi Sad,0.0016189846777193858,9
Odessa (Odesa),0.005375423916836334,3
Oradea,0.0028344366344131657,8
Oslo,0.0008725816313489075,7
Ostrava,0.0,0
Paris,0.0017259332114338151,3
Plovdiv,0.0059932053913465694,4
Plzen,0.18286070844456137,1
Podgorica,0.010083939262374738,3
Porto,0.0026655338420911176,6
Poznan,0.0028817007990268153,7
Prague,0.005728480562221412,5
Pristina,0.012877635597027384,4
Reykjavik,0.005870955330965956,7
Riga,0.0006980341012931575,5
Rijeka,0.0014498063251053486,9
Rome,0.000948951573932813,5
Rotterdam,0.0030554429006987727,6
Saint Petersburg,0.007604004824522238,6
Sarajevo,0.002640300587170138,5
Seville (Sevilla),0.0026309524744621846,5
Skopje,0.007916566075175862,6
Sofia,0.0036151630557808975,4
Split,0.000577751080863475,4
Stockholm,0.0009532537386907351,5
Stuttgart,0.0006364432271494733,5
Szczecin,0.001193393731573685,6
Tallinn,0.004035242076999497,9
The Hague (Den Haag),0.006391135471910102,5
Thessaloniki,0.0010829938892576649,5
Timisoara,0.002708396682900881,4
Tirana,0.0018444237409409251,5
Turin,0.0006125725413262677,4
Tuzla,0.0,0
Utrecht,0.0014249076121396074,3
Varna,0.004243334433833712,4
Vienna,0.002720360541169933,5
Villach,0.010057288793132588,1
Vilnius,0.006077827697275102,5
Warsaw,0.001431662286656699,7
Wroclaw,0.002505499178148919,3
Zagreb,0.0033900460723642594,10
Zurich,0.0013936562674544135,5
